Algoritmo,Tipo de Vetor,Tamanho do Vetor,Número de Comparações,Tempo Médio (ms)
Bubble Sort,ASC,100,4950,0.0056
Bubble Sort,DESC,100,4950,0.0443
Bubble Sort,RAND,100,4950,0.0276
Bubble Sort,ASC,1000,499500,0.3354
Bubble Sort,DESC,1000,499500,2.4048
Bubble Sort,RAND,1000,499500,1.2253
Bubble Sort,ASC,5000,12497500,5.5952
Bubble Sort,DESC,5000,12497500,57.3277
Bubble Sort,RAND,5000,12497500,30.8856
Bubble Sort,ASC,30000,449985000,197.9346
Bubble Sort,DESC,30000,449985000,2059.4706
Bubble Sort,RAND,30000,449985000,1566.7767
Bubble Sort,ASC,50000,1249975000,549.6235
Bubble Sort,DESC,50000,1249975000,5714.7842
Bubble Sort,RAND,50000,1249975000,4614.5926
Bubble Sort,ASC,100000,4999950000,2201.7669
Bubble Sort,DESC,100000,4999950000,22847.3371
Bubble Sort,RAND,100000,4999950000,19105.5029
Bubble Sort,ASC,150000,11249925000,5209.0116
Bubble Sort,DESC,150000,11249925000,51651.7809
Bubble Sort,RAND,150000,11249925000,44064.0168
Bubble Sort,ASC,200000,19999900000,8943.0298
Bubble Sort,DESC,200000,19999900000,91971.8416
Bubble Sort,RAND,200000,19999900000,78092.6149
Insertion Sort,ASC,100,99,0.0002
Insertion Sort,DESC,100,4950,0.0021
Insertion Sort,RAND,100,2575,0.0016
Insertion Sort,ASC,1000,999,0.0006
Insertion Sort,DESC,1000,499500,0.1599
Insertion Sort,RAND,1000,253221,0.0959
Insertion Sort,ASC,5000,4999,0.0063
Insertion Sort,DESC,5000,12497500,3.4438
Insertion Sort,RAND,5000,6269702,1.8214
Insertion Sort,ASC,30000,29999,0.0336
Insertion Sort,DESC,30000,449985000,123.1346
Insertion Sort,RAND,30000,225064365,61.8839
Insertion Sort,ASC,50000,49999,0.0279
Insertion Sort,DESC,50000,1249975000,342.5224
Insertion Sort,RAND,50000,624750746,172.3322
Insertion Sort,ASC,100000,99999,0.0549
Insertion Sort,DESC,100000,4999950000,1362.8307
Insertion Sort,RAND,100000,2502808345,681.8060
Insertion Sort,ASC,150000,149999,0.1833
Insertion Sort,DESC,150000,11249925000,3070.3560
Insertion Sort,RAND,150000,5606194450,1525.0677
Insertion Sort,ASC,200000,199999,0.1038
Insertion Sort,DESC,200000,19999900000,5593.6052
Insertion Sort,RAND,200000,10000542669,2773.0263
Merge Sort,ASC,100,672,0.0079
Merge Sort,DESC,100,672,0.0074
Merge Sort,RAND,100,672,0.0128
Merge Sort,ASC,1000,9976,0.1475
Merge Sort,DESC,1000,9976,0.0654
Merge Sort,RAND,1000,9976,0.0917
Merge Sort,ASC,5000,61808,0.3376
Merge Sort,DESC,5000,61808,0.3426
Merge Sort,RAND,5000,61808,0.5690
Merge Sort,ASC,30000,447232,2.2398
Merge Sort,DESC,30000,447232,2.1812
Merge Sort,RAND,30000,447232,3.4740
Merge Sort,ASC,50000,784464,3.6871
Merge Sort,DESC,50000,784464,3.5980
Merge Sort,RAND,50000,784464,5.8968
Merge Sort,ASC,100000,1668928,7.1222
Merge Sort,DESC,100000,1668928,6.9986
Merge Sort,RAND,100000,1668928,11.9640
Merge Sort,ASC,150000,2587856,10.8192
Merge Sort,DESC,150000,2587856,10.8359
Merge Sort,RAND,150000,2587856,17.9369
Merge Sort,ASC,200000,3537856,14.1791
Merge Sort,DESC,200000,3537856,14.5504
Merge Sort,RAND,200000,3537856,24.0229
Quick Sort,ASC,100,604,0.0024
Quick Sort,DESC,100,695,0.0026
Quick Sort,RAND,100,634,0.0080
Quick Sort,ASC,1000,11080,0.0250
Quick Sort,DESC,1000,10553,0.0282
Quick Sort,RAND,1000,10690,0.0416
Quick Sort,ASC,5000,71428,0.1074
Quick Sort,DESC,5000,70561,0.1184
Quick Sort,RAND,5000,70898,0.2267
Quick Sort,ASC,30000,531948,0.6879
Quick Sort,DESC,30000,536908,0.8398
Quick Sort,RAND,30000,528727,1.4897
Quick Sort,ASC,50000,951107,1.1672
Quick Sort,DESC,50000,935603,1.2994
Quick Sort,RAND,50000,921524,2.5561
Quick Sort,ASC,100000,2042766,2.3337
Quick Sort,DESC,100000,2136273,2.7086
Quick Sort,RAND,100000,1986769,5.2165
Quick Sort,ASC,150000,3343686,3.5161
Quick Sort,DESC,150000,3284348,4.0348
Quick Sort,RAND,150000,3203008,7.9394
Quick Sort,ASC,200000,4776080,4.7302
Quick Sort,DESC,200000,4743183,5.7546
Quick Sort,RAND,200000,4450604,10.4816
Heap Sort,ASC,100,1081,0.0018
Heap Sort,DESC,100,944,0.0018
Heap Sort,RAND,100,1028,0.0020
Heap Sort,ASC,1000,17583,0.0203
