Algoritmo,Tipo de Vetor,Tamanho do Vetor,Número de Comparações,Tempo Médio (ms)
Heap Sort,DESC,1000,15965,0.0207
Heap Sort,RAND,1000,16843,0.0254
Heap Sort,ASC,5000,112126,0.1230
Heap Sort,DESC,5000,103227,0.1284
Heap Sort,RAND,5000,107784,0.1568
Heap Sort,ASC,30000,826347,1.1924
Heap Sort,DESC,30000,775687,1.1327
Heap Sort,RAND,30000,800823,1.3579
Heap Sort,ASC,50000,1455438,2.0372
Heap Sort,DESC,50000,1366047,2.1672
Heap Sort,RAND,50000,1409928,2.4705
Heap Sort,ASC,100000,3112517,4.5245
Heap Sort,DESC,100000,2926640,4.5913
Heap Sort,RAND,100000,3019400,5.7757
Heap Sort,ASC,150000,4838906,7.0881
Heap Sort,DESC,150000,4571170,6.9503
Heap Sort,RAND,150000,4700893,8.7156
Heap Sort,ASC,200000,6626912,9.5943
Heap Sort,DESC,200000,6256303,9.4913
Heap Sort,RAND,200000,6440147,12.3512
