Algoritmo,Tipo de Vetor,Tamanho do Vetor,Número de Comparações,Tempo Médio (ms)
Bubble Sort,ASC,100,4950,0.0055
Bubble Sort,DESC,100,4950,0.0444
Bubble Sort,RAND,100,4950,0.0346
Bubble Sort,ASC,1000,499500,0.4046
Bubble Sort,DESC,1000,499500,2.6710
Bubble Sort,RAND,1000,499500,1.2472
Bubble Sort,ASC,5000,12497500,5.5927
Bubble Sort,DESC,5000,12497500,57.0257
Bubble Sort,RAND,5000,12497500,31.0841
Bubble Sort,ASC,30000,449985000,198.1756
Bubble Sort,DESC,30000,449985000,2055.1250
Bubble Sort,RAND,30000,449985000,1567.7365
Bubble Sort,ASC,50000,1249975000,549.3774
Bubble Sort,DESC,50000,1249975000,5704.0889
Bubble Sort,RAND,50000,1249975000,4586.6912
Bubble Sort,ASC,100000,4999950000,2198.3655
Bubble Sort,DESC,100000,4999950000,22850.2658
Bubble Sort,RAND,100000,4999950000,19231.1183
Bubble Sort,ASC,150000,11249925000,4949.2894
Bubble Sort,DESC,150000,11249925000,51443.9850
Bubble Sort,RAND,150000,11249925000,43603.7162
Bubble Sort,ASC,200000,19999900000,8792.4507
Bubble Sort,DESC,200000,19999900000,91427.3688
Bubble Sort,RAND,200000,19999900000,78376.7135
Insertion Sort,ASC,100,99,0.0001
Insertion Sort,DESC,100,4950,0.0021
Insertion Sort,RAND,100,2592,0.0016
Insertion Sort,ASC,1000,999,0.0005
Insertion Sort,DESC,1000,499500,0.1414
Insertion Sort,RAND,1000,251017,0.0752
Insertion Sort,ASC,5000,4999,0.0026
Insertion Sort,DESC,5000,12497500,3.4471
Insertion Sort,RAND,5000,6289804,1.7545
Insertion Sort,ASC,30000,29999,0.0160
Insertion Sort,DESC,30000,449985000,121.1538
Insertion Sort,RAND,30000,223556599,61.2334
Insertion Sort,ASC,50000,49999,0.0294
Insertion Sort,DESC,50000,1249975000,337.5628
Insertion Sort,RAND,50000,626686560,169.7842
Insertion Sort,ASC,100000,99999,0.0549
Insertion Sort,DESC,100000,4999950000,1348.2604
Insertion Sort,RAND,100000,2509483893,679.1834
Insertion Sort,ASC,150000,149999,0.0837
Insertion Sort,DESC,150000,11249925000,3039.1570
Insertion Sort,RAND,150000,5597963879,1512.2398
Insertion Sort,ASC,200000,199999,0.1036
Insertion Sort,DESC,200000,19999900000,5393.2014
Insertion Sort,RAND,200000,10012901784,2701.4859
Merge Sort,ASC,100,672,0.0083
Merge Sort,DESC,100,672,0.0105
Merge Sort,RAND,100,672,0.0113
Merge Sort,ASC,1000,9976,0.0667
Merge Sort,DESC,1000,9976,0.0676
Merge Sort,RAND,1000,9976,0.0943
Merge Sort,ASC,5000,61808,0.3272
Merge Sort,DESC,5000,61808,0.3923
Merge Sort,RAND,5000,61808,0.5823
Merge Sort,ASC,30000,447232,2.0543
Merge Sort,DESC,30000,447232,2.1838
Merge Sort,RAND,30000,447232,3.4825
Merge Sort,ASC,50000,784464,3.4211
Merge Sort,DESC,50000,784464,3.3252
Merge Sort,RAND,50000,784464,5.6821
Merge Sort,ASC,100000,1668928,7.0044
Merge Sort,DESC,100000,1668928,7.0085
Merge Sort,RAND,100000,1668928,11.8139
Merge Sort,ASC,150000,2587856,10.2355
Merge Sort,DESC,150000,2587856,10.5811
Merge Sort,RAND,150000,2587856,18.1866
Merge Sort,ASC,200000,3537856,13.8323
Merge Sort,DESC,200000,3537856,14.1195
Merge Sort,RAND,200000,3537856,23.9837
Quick Sort,ASC,100,646,0.0032
Quick Sort,DESC,100,618,0.0024
Quick Sort,RAND,100,658,0.0046
Quick Sort,ASC,1000,10340,0.0262
Quick Sort,DESC,1000,10680,0.0398
Quick Sort,RAND,1000,10097,0.0366
Quick Sort,ASC,5000,69176,0.1073
Quick Sort,DESC,5000,70840,0.1150
Quick Sort,RAND,5000,69851,0.2080
Quick Sort,ASC,30000,545319,0.7376
Quick Sort,DESC,30000,528931,0.7307
Quick Sort,RAND,30000,539476,1.4831
Quick Sort,ASC,50000,948202,1.1086
Quick Sort,DESC,50000,940629,1.3132
Quick Sort,RAND,50000,960184,2.5780
Quick Sort,ASC,100000,2082539,2.3134
Quick Sort,DESC,100000,2036860,2.6686
Quick Sort,RAND,100000,1998615,5.1491
Quick Sort,ASC,150000,3273676,3.5387
Quick Sort,DESC,150000,3216906,4.0428
Quick Sort,RAND,150000,3280103,7.7369
Quick Sort,ASC,200000,4878215,4.8108
Quick Sort,DESC,200000,4671128,5.7564
Quick Sort,RAND,200000,4444779,10.4532
Heap Sort,ASC,100,1081,0.0017
Heap Sort,DESC,100,944,0.0018
Heap Sort,RAND,100,1022,0.0020
Heap Sort,ASC,1000,17583,0.0193
Heap Sort,DESC,1000,15965,0.0209
Heap Sort,RAND,1000,16863,0.0358
Heap Sort,ASC,5000,112126,0.1280
Heap Sort,DESC,5000,103227,0.1268
Heap Sort,RAND,5000,107674,0.1669
Heap Sort,ASC,30000,826347,1.0877
Heap Sort,DESC,30000,775687,1.1653
Heap Sort,RAND,30000,800548,1.3252
Heap Sort,ASC,50000,1455438,2.0769
Heap Sort,DESC,50000,1366047,2.0398
Heap Sort,RAND,50000,1409932,2.4880
Heap Sort,ASC,100000,3112517,4.5565
Heap Sort,DESC,100000,2926640,4.4500
Heap Sort,RAND,100000,3020014,5.7383
Heap Sort,ASC,150000,4838906,7.0250
Heap Sort,DESC,150000,4571170,6.9655
Heap Sort,RAND,150000,4700135,8.9080
Heap Sort,ASC,200000,6626912,9.8344
Heap Sort,DESC,200000,6256303,9.5068
Heap Sort,RAND,200000,6439601,12.6211
